product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,brand_name,product_material,product_color,price_usd,seller_price,seller_earning,buyers_fees,seller_id,seller_country,seller_products_sold,seller_num_products_listed
43247626,Wool mini skirt,Wool mini skirt Miu Miu Grey size S International in Wool ,Women,Women Clothing,Autumn / Winter,Never worn,34,TRUE,Miu Miu,Wool,Grey,272.92,223.65,216.94,,25775970,Germany,3,14
43246247,Wool suit jacket,Wool suit jacket Dior Grey size 40 FR in Wool ,Women,Women Clothing,Autumn / Winter,Very good condition,2,TRUE,Dior,Wool,Grey,437.97,358.91,312.25,,2709130,Italy,172,6
43246087,Silk maxi dress,Silk maxi dress La Perla Black size 44 IT in Silk ,Women,Women Clothing,All seasons,"Never worn, with tag",4,TRUE,La Perla,Silk,Black,444.74,370.62,322.44,,6048767,Germany,5,15
43244097,Trousers,Trousers Gucci Beige size M International in Cotton ,Women,Women Clothing,All seasons,Very good condition,4,TRUE,Gucci,Cotton,Beige,145.75,119.44,103.91,,10050555,Spain,11,15
43246432,Lingerie set,Lingerie set Agent Provocateur Black in Polyamide ,Women,Women Clothing,All seasons,Very good condition,0,TRUE,Agent Provocateur,Polyamide,Black,55.37,46.14,42.4,,5594414,United Kingdom,47,13
43246171,Mini dress,Mini dress Isabel Marant Black size XS International in Cotton ,Women,Women Clothing,All seasons,Very good condition,5,TRUE,Isabel Marant,Cotton,Black,71.66,59.72,43.74,,446580,Netherlands,31,45
43245150,Vegan leather biker jacket,Vegan leather biker jacket Acne Studios Brown size 32 IT in Vegan leather ,Women,Women Clothing,All seasons,"Never worn, with tag",5,TRUE,Acne Studios,Vegan leather,Brown,788.3,656.92,571.52,,826981,Italy,90,5
43246236,Linen carot pants,Linen carot pants La Collection Beige size 0 0,Women,Women Clothing,Spring / Summer,Never worn,2,TRUE,La Collection,Linen,Beige,95.55,79.63,65.78,,4915204,France,385,11
43245867,Wool mini skirt,Wool mini skirt Versace Black size 44 IT in Wool ,Women,Women Clothing,Autumn / Winter,Very good condition,5,TRUE,Versace,Wool,Black,136.03,111.48,96.98,,3874686,Austria,301,6
43244814,Cashmere cardigan,Cashmere cardigan Hermès Grey size S International in Cashmere ,Women,Women Clothing,Autumn / Winter,Very good condition,4,TRUE,Hermès,Cashmere,Grey,194.94,159.75,138.98,,3398807,France,26,18
43245545,Trench coat,Trench coat Anine Bing Khaki size S International in Cotton ,Women,Women Clothing,All seasons,Very good condition,2,TRUE,Anine Bing,Cotton,Khaki,239.13,195.96,160.69,,13541660,Ireland,11,5
43246162,Mini short,Mini short Missoni Multicolour size 36 FR in Cotton ,Women,Women Clothing,All seasons,Never worn,3,TRUE,Missoni,Cotton,Multicolour,91.09,74.65,58.67,,25868174,Croatia,3,4
43245893,One-piece swimsuit,One,Women,Women Clothing,Spring / Summer,Never worn,7,TRUE,HUNZA G,Cotton - elasthane,Navy,104.45,85.6,69.56,,25976570,Ireland,5,30
